round, agent, score
56, MarkovDecisionProcessAgent, 15
56, MarkovDecisionProcessAgentAdjusted, 15
57, AlwaysHoldAgent, 13
57, PerfectionistAgent, -5
57, OneStepLookAheadAgent, 13
57, RiskyAgent, 13
57, CautiousAgent, 13
57, MarkovDecisionProcessAgent, 13
57, MarkovDecisionProcessAgentAdjusted, 13
58, AlwaysHoldAgent, 8
58, PerfectionistAgent, -17
58, OneStepLookAheadAgent, 11
58, RiskyAgent, 11
58, CautiousAgent, 11
58, MarkovDecisionProcessAgent, 13
58, MarkovDecisionProcessAgentAdjusted, 13
59, AlwaysHoldAgent, 9
59, PerfectionistAgent, 15
59, OneStepLookAheadAgent, 12
59, RiskyAgent, 12
59, CautiousAgent, 12
59, MarkovDecisionProcessAgent, 13
59, MarkovDecisionProcessAgentAdjusted, 13
60, AlwaysHoldAgent, 12
60, PerfectionistAgent, -74
60, OneStepLookAheadAgent, 12
60, RiskyAgent, 12
60, CautiousAgent, 12
60, MarkovDecisionProcessAgent, 12
60, MarkovDecisionProcessAgentAdjusted, 12
61, AlwaysHoldAgent, 16
61, PerfectionistAgent, -42
61, OneStepLookAheadAgent, 16
61, RiskyAgent, 16
61, CautiousAgent, 16
61, MarkovDecisionProcessAgent, 16
61, MarkovDecisionProcessAgentAdjusted, 16
62, AlwaysHoldAgent, 10
62, PerfectionistAgent, -59
62, OneStepLookAheadAgent, 11
62, RiskyAgent, 11
62, CautiousAgent, 11
62, MarkovDecisionProcessAgent, 10
62, MarkovDecisionProcessAgentAdjusted, 10
63, AlwaysHoldAgent, 5
63, PerfectionistAgent, -37
63, OneStepLookAheadAgent, 14
63, RiskyAgent, 14
63, CautiousAgent, 14
63, MarkovDecisionProcessAgent, 14
63, MarkovDecisionProcessAgentAdjusted, 14
64, AlwaysHoldAgent, 16
64, PerfectionistAgent, 11
64, OneStepLookAheadAgent, 16
64, RiskyAgent, 16
64, CautiousAgent, 16
64, MarkovDecisionProcessAgent, 16
64, MarkovDecisionProcessAgentAdjusted, 16
65, AlwaysHoldAgent, 12
65, PerfectionistAgent, 14
65, OneStepLookAheadAgent, 12
65, RiskyAgent, 12
65, CautiousAgent, 12
65, MarkovDecisionProcessAgent, 12
65, MarkovDecisionProcessAgentAdjusted, 12
66, AlwaysHoldAgent, 15
66, PerfectionistAgent, 14
66, OneStepLookAheadAgent, 15
66, RiskyAgent, 15
66, CautiousAgent, 15
66, MarkovDecisionProcessAgent, 15
66, MarkovDecisionProcessAgentAdjusted, 15
67, AlwaysHoldAgent, 12
67, PerfectionistAgent, -60
67, OneStepLookAheadAgent, 12
67, RiskyAgent, 12
67, CautiousAgent, 12
67, MarkovDecisionProcessAgent, 12
67, MarkovDecisionProcessAgentAdjusted, 12
68, AlwaysHoldAgent, 15
68, PerfectionistAgent, -230
68, OneStepLookAheadAgent, 15
68, RiskyAgent, 15
68, CautiousAgent, 15
68, MarkovDecisionProcessAgent, 15
68, MarkovDecisionProcessAgentAdjusted, 15
69, AlwaysHoldAgent, 7
69, PerfectionistAgent, -55
69, OneStepLookAheadAgent, 9
69, RiskyAgent, 9
69, CautiousAgent, 8
69, MarkovDecisionProcessAgent, 15
69, MarkovDecisionProcessAgentAdjusted, 15
70, AlwaysHoldAgent, 11
70, PerfectionistAgent, -96
70, OneStepLookAheadAgent, 11
70, RiskyAgent, 11
70, CautiousAgent, 11
70, MarkovDecisionProcessAgent, 14
70, MarkovDecisionProcessAgentAdjusted, 14
71, AlwaysHoldAgent, 15
71, PerfectionistAgent, -33
71, OneStepLookAheadAgent, 15
71, RiskyAgent, 15
71, CautiousAgent, 15
71, MarkovDecisionProcessAgent, 15
71, MarkovDecisionProcessAgentAdjusted, 15
72, AlwaysHoldAgent, 9
72, PerfectionistAgent, -13
72, OneStepLookAheadAgent, 11
72, RiskyAgent, 11
72, CautiousAgent, 11
72, MarkovDecisionProcessAgent, 11
72, MarkovDecisionProcessAgentAdjusted, 11
73, AlwaysHoldAgent, 5
73, PerfectionistAgent, -7
73, OneStepLookAheadAgent, 10
73, RiskyAgent, 10
73, CautiousAgent, 10
73, MarkovDecisionProcessAgent, 13
73, MarkovDecisionProcessAgentAdjusted, 13
74, AlwaysHoldAgent, 9
74, PerfectionistAgent, -12
74, OneStepLookAheadAgent, 8
74, RiskyAgent, 8
74, CautiousAgent, 8
74, MarkovDecisionProcessAgent, 15
74, MarkovDecisionProcessAgentAdjusted, 15
75, AlwaysHoldAgent, 10
75, PerfectionistAgent, -250
75, OneStepLookAheadAgent, 11
75, RiskyAgent, 11
75, CautiousAgent, 10
75, MarkovDecisionProcessAgent, 12
75, MarkovDecisionProcessAgentAdjusted, 12
76, AlwaysHoldAgent, 17
76, PerfectionistAgent, -47
76, OneStepLookAheadAgent, 17
76, RiskyAgent, 17
76, CautiousAgent, 17
76, MarkovDecisionProcessAgent, 17
76, MarkovDecisionProcessAgentAdjusted, 17
77, AlwaysHoldAgent, 12
77, PerfectionistAgent, -42
77, OneStepLookAheadAgent, 12
77, RiskyAgent, 12
77, CautiousAgent, 12
77, MarkovDecisionProcessAgent, 12
77, MarkovDecisionProcessAgentAdjusted, 12
78, AlwaysHoldAgent, 7
78, PerfectionistAgent, -150
78, OneStepLookAheadAgent, 12
78, RiskyAgent, 12
78, CautiousAgent, 11
78, MarkovDecisionProcessAgent, 13
78, MarkovDecisionProcessAgentAdjusted, 13
79, AlwaysHoldAgent, 13
79, PerfectionistAgent, -66
79, OneStepLookAheadAgent, 13
79, RiskyAgent, 13
79, CautiousAgent, 13
79, MarkovDecisionProcessAgent, 13
79, MarkovDecisionProcessAgentAdjusted, 13
80, AlwaysHoldAgent, 8
80, PerfectionistAgent, -39
80, OneStepLookAheadAgent, 11
80, RiskyAgent, 11
80, CautiousAgent, 11
80, MarkovDecisionProcessAgent, 12
80, MarkovDecisionProcessAgentAdjusted, 12
81, AlwaysHoldAgent, 8
81, PerfectionistAgent, -147
81, OneStepLookAheadAgent, 12
81, RiskyAgent, 12
81, CautiousAgent, 12
81, MarkovDecisionProcessAgent, 12
81, MarkovDecisionProcessAgentAdjusted, 12
82, AlwaysHoldAgent, 8
82, PerfectionistAgent, -65
82, OneStepLookAheadAgent, 13
82, RiskyAgent, 13
82, CautiousAgent, 13
82, MarkovDecisionProcessAgent, 16
82, MarkovDecisionProcessAgentAdjusted, 16
83, AlwaysHoldAgent, 16
83, PerfectionistAgent, -88
83, OneStepLookAheadAgent, 16
83, RiskyAgent, 16
83, CautiousAgent, 16
83, MarkovDecisionProcessAgent, 16
83, MarkovDecisionProcessAgentAdjusted, 16
84, AlwaysHoldAgent, 8
84, PerfectionistAgent, 11
84, OneStepLookAheadAgent, 12
84, RiskyAgent, 12
84, CautiousAgent, 8
84, MarkovDecisionProcessAgent, 9
84, MarkovDecisionProcessAgentAdjusted, 9
85, AlwaysHoldAgent, 12
85, PerfectionistAgent, -175
85, OneStepLookAheadAgent, 12
85, RiskyAgent, 12
85, CautiousAgent, 12
85, MarkovDecisionProcessAgent, 12
85, MarkovDecisionProcessAgentAdjusted, 12
86, AlwaysHoldAgent, 10
86, PerfectionistAgent, 12
86, OneStepLookAheadAgent, 10
86, RiskyAgent, 10
86, CautiousAgent, 10
86, MarkovDecisionProcessAgent, 13
86, MarkovDecisionProcessAgentAdjusted, 13
87, AlwaysHoldAgent, 15
87, PerfectionistAgent, -3
87, OneStepLookAheadAgent, 15
